name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
AASHLOK HOSPITAL,16,13,3,Private,2021-05-12-16-33,3,3,0,2,1,1,5,4,1,0,6,,,
AASHLOK HOSPITAL,21,21,0,Private,2021-05-13-17-02,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,21,21,0,Private,2021-05-14-11-20,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,22,0,Private,2021-05-14-13-52,1,1,0,4,4,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,22,0,Private,2021-05-14-17-20,1,1,0,4,4,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-15-13-02,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-15-15-13,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,21,16,5,Private,2021-05-16-15-02,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,19,3,Private,2021-05-17-11-23,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,19,3,Private,2021-05-17-13-38,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,19,3,Private,2021-05-17-17-14,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-18-10-26,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-18-12-51,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,20,2,Private,2021-05-18-15-50,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,20,2,Private,2021-05-19-10-23,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,20,2,Private,2021-05-19-12-50,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,19,3,Private,2021-05-19-15-45,3,3,0,2,2,0,5,5,0,0,8,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-20-10-30,3,3,0,2,2,0,5,5,0,0,6,,,
AASHLOK HOSPITAL,22,18,4,Private,2021-05-20-12-37,3,3,0,2,2,0,5,5,0,0,8,,,
