name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-04-21-17-25,8,8,0,2,2,0,2,2,0,10,10,0
AASTHA HOSPITAL,40,40,0,Private,2021-04-22-09-17,8,8,0,2,2,0,2,2,0,10,10,0
AASTHA HOSPITAL,40,40,0,Private,2021-04-22-14-02,8,8,0,2,2,0,2,2,0,10,10,0
AASTHA HOSPITAL,40,40,0,Private,2021-04-22-16-36,8,8,0,2,2,0,2,2,0,10,10,0
ACHARYASHREE BHIKSHU GOVT. HOSPITAL,108,108,0,Delhi Government,2021-04-22-08-01,13,13,0,,,,,,,13,13,0
ACHARYASHREE BHIKSHU GOVT. HOSPITAL,108,105,3,Delhi Government,2021-04-22-13-15,13,13,0,,,,,,,13,13,0
ACHARYASHREE BHIKSHU GOVT. HOSPITAL,108,105,3,Delhi Government,2021-04-22-13-15,13,13,0,,,,,,,13,13,0
ACHARYASHREE BHIKSHU GOVT. HOSPITAL,108,105,3,Delhi Government,2021-04-22-17-10,13,13,0,,,,,,,13,13,0
AIIMS JHAJJAR,573,573,0,Central Government,2021-04-21-18-12,,,,,,,25,25,0,25,25,0
AIIMS JHAJJAR,590,590,0,Central Government,2021-04-22-08-49,,,,,,,25,25,0,25,25,0
AIIMS JHAJJAR,590,590,0,Central Government,2021-04-22-08-49,,,,,,,25,25,0,25,25,0
AIIMS MAIN DELHI,33,33,0,Central Government,2021-04-21-12-22,,,,86,51,35,,,,,,
AIIMS MAIN DELHI,33,33,0,Central Government,2021-04-22-09-02,,,,86,47,39,,,,,,
AIIMS MAIN DELHI,33,33,0,Central Government,2021-04-22-09-02,,,,86,47,39,,,,,,
"AIIMS, TRAUMA DELHI",266,255,11,Central Government,2021-04-22-05-59,,,,,,,71,70,1,71,70,1
"AIIMS, TRAUMA DELHI",266,255,11,Central Government,2021-04-22-16-53,,,,,,,71,70,1,71,70,1
"AIIMS, TRAUMA DELHI",266,255,11,Central Government,2021-04-22-16-53,,,,,,,71,70,1,71,70,1
"AKASH HEALTHCARE, DWARKA",138,138,0,Private,2021-04-22-07-30,41,41,0,17,17,0,10,10,0,51,51,0
"AKASH HEALTHCARE, DWARKA",233,233,0,Private,2021-04-22-12-02,41,41,0,17,17,0,10,10,0,51,51,0
"AKASH HEALTHCARE, DWARKA",233,233,0,Private,2021-04-22-16-26,41,41,0,17,17,0,10,10,0,51,51,0
"AKASH HEALTHCARE, DWARKA",233,233,0,Private,2021-04-22-16-26,41,41,0,17,17,0,10,10,0,51,51,0
"AKASH HEALTHCARE, DWARKA",233,233,0,Private,2021-04-22-17-07,41,41,0,17,17,0,10,10,0,51,51,0
ALL,20157,18009,2148,,"08:41 AM, 22 April 2021",3211,3187,24,1152,897,255,1460,1454,6,4671,4641,30
ALL,20174,18026,2148,,"08:50 AM, 22 April 2021",3211,3187,24,1152,897,255,1460,1454,6,4671,4641,30
ALL,20174,18026,2148,,"08:56 AM, 22 April 2021",3211,3187,24,1152,897,255,1460,1454,6,4671,4641,30
ALL,20174,18029,2145,,"09:02 AM, 22 April 2021",3211,3187,24,1152,897,255,1460,1454,6,4671,4641,30
ALL,20201,18164,2037,,"11:09 AM, 22 April 2021",3211,3187,24,1152,893,259,1460,1456,4,4671,4643,28
ALL,20357,18272,2085,,"02:54 PM, 22 April 2021",3224,3212,12,1148,892,256,1460,1456,4,4684,4668,16
ALL,20357,18272,2085,,"02:55 PM, 22 April 2021",3224,3212,12,1148,892,256,1460,1456,4,4684,4668,16
ALL,20355,18285,2070,,"03:42 PM, 22 April 2021",3224,3212,12,1148,892,256,1460,1456,4,4684,4668,16
ALL,20355,18295,2060,,"03:44 PM, 22 April 2021",3224,3212,12,1148,892,256,1460,1456,4,4684,4668,16
ALL,20355,18297,2058,,"03:47 PM, 22 April 2021",3224,3212,12,1148,892,256,1460,1456,4,4684,4668,16
ALL,20348,18291,2057,,"04:32 PM, 22 April 2021",3224,3212,12,1148,889,259,1460,1454,6,4684,4666,18
ALL,20347,18294,2053,,"04:50 PM, 22 April 2021",3226,3214,12,1148,889,259,1458,1452,6,4684,4666,18
ALL,20347,18294,2053,,"04:52 PM, 22 April 2021",3226,3214,12,1148,889,259,1458,1452,6,4684,4666,18
ALL,20347,18298,2049,,"04:55 PM, 22 April 2021",3226,3214,12,1148,889,259,1458,1452,6,4684,4666,18
ALL,20347,18298,2049,,"04:58 PM, 22 April 2021",3226,3214,12,1148,889,259,1458,1452,6,4684,4666,18
ALL,20349,18314,2035,,"05:29 PM, 22 April 2021",3222,3210,12,1148,887,261,1462,1456,6,4684,4666,18
ALL,20349,18314,2035,,"05:30 PM, 22 April 2021",3222,3210,12,1148,887,261,1462,1456,6,4684,4666,18
AMBEDKAR NAGAR HOSPITAL,280,239,41,Delhi Government,2021-04-22-08-27,20,20,0,,,,,,,20,20,0
AMBEDKAR NAGAR HOSPITAL,280,239,41,Delhi Government,2021-04-22-09-33,20,20,0,,,,,,,20,20,0
AMBEDKAR NAGAR HOSPITAL,280,211,69,Delhi Government,2021-04-22-12-37,20,20,0,,,,,,,20,20,0
AMBEDKAR NAGAR HOSPITAL,280,214,66,Delhi Government,2021-04-22-14-59,20,20,0,,,,,,,20,20,0
AMBEDKAR NAGAR HOSPITAL,280,214,66,Delhi Government,2021-04-22-14-59,20,20,0,,,,,,,20,20,0
"ANSARI HOSPITAL, SAGARPUR",40,40,0,Private,2021-04-22-06-53,3,3,0,,,,2,2,0,5,5,0
"ANSARI HOSPITAL, SAGARPUR",40,40,0,Private,2021-04-22-06-53,3,3,0,,,,2,2,0,5,5,0
"APEX CITY HOSPITAL, WEST VINOD NAGAR",28,28,0,Private,2021-04-22-07-56,4,4,0,4,4,0,,,,4,4,0
"APEX CITY HOSPITAL, WEST VINOD NAGAR",28,28,0,Private,2021-04-22-16-23,4,4,0,4,4,0,,,,4,4,0
"APEX CITY HOSPITAL, WEST VINOD NAGAR",28,28,0,Private,2021-04-22-16-23,4,4,0,4,4,0,,,,4,4,0
ARDENT GANPATI,41,22,19,Private,2021-04-21-19-02,4,4,0,,,,,,,4,4,0
ARDENT GANPATI,41,21,20,Private,2021-04-22-10-26,4,4,0,,,,,,,4,4,0
ARDENT GANPATI,41,21,20,Private,2021-04-22-10-26,4,4,0,,,,,,,4,4,0
"AYUSHMAN HOSPITAL, DWARKA",118,118,0,Private,2021-04-22-06-55,27,27,0,,,,3,3,0,30,30,0
"AYUSHMAN HOSPITAL, DWARKA",118,118,0,Private,2021-04-22-09-40,27,27,0,,,,3,3,0,30,30,0
"AYUSHMAN HOSPITAL, DWARKA",118,118,0,Private,2021-04-22-09-40,27,27,0,,,,3,3,0,30,30,0
"B.M. GUPTA HOSPITAL, UTTAM NAGAR",60,60,0,Private,2021-04-22-07-49,19,19,0,,,,1,1,0,20,20,0
"B.M. GUPTA HOSPITAL, UTTAM NAGAR",60,60,0,Private,2021-04-22-12-15,19,19,0,,,,1,1,0,20,20,0
"B.M. GUPTA HOSPITAL, UTTAM NAGAR",60,60,0,Private,2021-04-22-15-37,19,19,0,,,,1,1,0,20,20,0
"B.M. GUPTA HOSPITAL, UTTAM NAGAR",60,60,0,Private,2021-04-22-15-37,19,19,0,,,,1,1,0,20,20,0
"BANSAL GLOBAL HOSPITAL, JAHANGIRPURI",43,43,0,Private,2021-04-22-07-49,9,9,0,1,0,1,1,1,0,10,10,0
"BANSAL GLOBAL HOSPITAL, JAHANGIRPURI",43,43,0,Private,2021-04-22-09-56,9,9,0,1,0,1,1,1,0,10,10,0
"BANSAL GLOBAL HOSPITAL, JAHANGIRPURI",43,43,0,Private,2021-04-22-09-56,9,9,0,1,0,1,1,1,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-07-35,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-10-10,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-11-37,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-14-54,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-16-00,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-16-53,8,8,0,2,2,0,2,2,0,10,10,0
"BANSAL HOSPITAL & RESEARCH CENTRE, NEW FRIENDS COLONY",40,40,0,Private,2021-04-22-16-53,8,8,0,2,2,0,2,2,0,10,10,0
BARA HINDURAO HOSPITAL,210,210,0,Central Government,2021-04-21-19-16,,,,,,,10,10,0,10,10,0
BARA HINDURAO HOSPITAL,210,206,4,Central Government,2021-04-22-09-21,,,,,,,10,10,0,10,10,0
BARA HINDURAO HOSPITAL,210,208,2,Central Government,2021-04-22-14-45,,,,,,,10,10,0,10,10,0
BARA HINDURAO HOSPITAL,210,208,2,Central Government,2021-04-22-14-45,,,,,,,10,10,0,10,10,0
BASE HOSPITAL DELHI CANTT,340,307,33,Central Government,2021-04-22-06-41,,,,17,8,9,12,9,3,12,9,3
BASE HOSPITAL DELHI CANTT,340,307,33,Central Government,2021-04-22-06-41,,,,17,8,9,12,9,3,12,9,3
BATRA HOSPITAL,270,270,0,Private,2021-04-22-08-26,28,28,0,12,12,0,10,10,0,38,38,0
BATRA HOSPITAL,270,270,0,Private,2021-04-22-12-49,28,28,0,12,12,0,10,10,0,38,38,0
BATRA HOSPITAL,270,270,0,Private,2021-04-22-12-49,28,28,0,12,12,0,10,10,0,38,38,0
"BENSUPS HOSPITAL, DWARKA",40,32,8,Private,2021-04-22-08-11,12,12,0,,,,3,3,0,15,15,0
"BENSUPS HOSPITAL, DWARKA",40,32,8,Private,2021-04-22-08-11,12,12,0,,,,3,3,0,15,15,0
"BHAGAT CHANDRA HOSPITAL, MAHAVIR ENCLAVE, DWARKA",81,81,0,Private,2021-04-22-00-58,23,23,0,9,9,0,5,5,0,28,28,0
"BHAGAT CHANDRA HOSPITAL, MAHAVIR ENCLAVE, DWARKA",81,81,0,Private,2021-04-22-00-58,23,23,0,9,9,0,5,5,0,28,28,0
