name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
ALL,8943,225,8718,,2021-01-01-05-50,1394,30,1364,2774,51,2723,,,3437,2319,1118,1380,21,1359
ALL,8883,248,8635,,2021-01-01-17-35,1396,35,1361,2776,56,2720,,,3434,2316,1118,1380,21,1359
ALL,8924,282,8642,,2021-01-02-05-50,1396,37,1359,2776,62,2714,,,3434,2323,1111,1380,25,1355
ALL,9029,319,8710,,2021-01-02-17-35,1393,33,1360,2772,64,2708,,,3404,2304,1100,1379,31,1348
ALL,9029,351,8678,,2021-01-03-05-50,1393,45,1348,2772,76,2696,,,3404,2317,1087,1379,31,1348
ALL,9035,439,8596,,2021-01-03-17-35,1397,63,1334,2779,109,2670,,,3418,2307,1111,1382,46,1336
ALL,9035,468,8567,,2021-01-04-05-50,1397,65,1332,2779,113,2666,,,3418,2309,1109,1382,48,1334
ALL,9116,579,8537,,2021-01-04-17-35,1424,77,1347,2813,141,2672,,,3396,2306,1090,1389,64,1325
ALL,9717,632,9085,,2021-01-05-05-50,1562,88,1474,2957,149,2808,,,3346,2248,1098,1395,61,1334
ALL,11897,905,10992,,2021-01-05-17-35,1758,117,1641,3266,181,3085,,,3152,2170,982,1508,64,1444
ALL,12025,970,11055,,2021-01-06-05-50,1780,113,1667,3303,182,3121,,,3133,2145,988,1523,69,1454
ALL,12957,1146,11811,,2021-01-06-17-35,1866,141,1725,3543,213,3330,,,2941,2042,899,1677,72,1605
ALL,13010,1186,11824,,2021-01-07-05-50,1881,132,1749,3558,205,3353,,,2916,2004,912,1677,73,1604
ALL,14013,1427,12586,,2021-01-07-17-35,2139,146,1993,3881,235,3646,,,2872,1981,891,1742,89,1653
ALL,14027,1461,12566,,2021-01-08-05-50,2145,155,1990,3886,240,3646,,,2870,1972,898,1741,85,1656
ALL,14364,1638,12726,,2021-01-08-17-35,2242,203,2039,4090,290,3800,,,2864,1963,901,1848,87,1761
ALL,14314,1659,12655,,2021-01-09-05-50,2292,219,2073,4090,303,3787,,,2864,1933,931,1798,84,1714
ALL,14329,1811,12518,,2021-01-09-17-35,2332,300,2032,4098,397,3701,,,2863,1912,951,1766,97,1669
ALL,14332,1867,12465,,2021-01-10-05-50,2331,305,2026,4099,409,3690,,,2863,1903,960,1768,104,1664
ALL,14410,2023,12387,,2021-01-10-17-35,2291,307,1984,4086,438,3648,,,2864,1926,938,1795,131,1664
ALL,14410,2074,12336,,2021-01-11-05-50,2294,328,1966,4089,470,3619,,,2856,1921,935,1795,142,1653
ALL,14762,2300,12462,,2021-01-11-17-35,2303,358,1945,4193,531,3662,,,2865,1954,911,1890,173,1717
ALL,14762,2299,12463,,2021-01-12-05-50,2303,363,1940,4193,533,3660,,,2865,1952,913,1890,170,1720
ALL,15330,2397,12933,,2021-01-12-17-35,2397,415,1982,4349,624,3725,,,2725,1860,865,1952,209,1743
ALL,15384,2404,12980,,2021-01-13-05-50,2397,415,1982,4349,629,3720,,,2725,1852,873,1952,214,1738
ALL,15478,2479,12999,,2021-01-13-17-35,2416,430,1986,4375,646,3729,,,2721,1844,877,1959,216,1743
ALL,15478,2492,12986,,2021-01-14-05-50,2422,429,1993,4375,642,3733,,,2721,1840,881,1953,213,1740
ALL,15480,2527,12953,,2021-01-14-17-35,2453,452,2001,4404,680,3724,,,2695,1795,900,1951,228,1723
ALL,15480,2567,12913,,2021-01-15-05-50,2453,459,1994,4405,688,3717,,,2695,1795,900,1952,229,1723
ALL,15494,2625,12869,,2021-01-15-17-35,2461,493,1968,4425,721,3704,,,2687,1792,895,1964,228,1736
ALL,15494,2581,12913,,2021-01-16-05-50,2461,518,1943,4425,745,3680,,,2687,1793,894,1964,227,1737
ALL,15499,2709,12790,,2021-01-16-17-35,2458,524,1934,4426,759,3667,,,2687,1803,884,1968,235,1733
ALL,15499,2753,12746,,2021-01-17-05-50,2465,564,1901,4433,815,3618,,,2687,1796,891,1968,251,1717
ALL,15498,2786,12712,,2021-01-17-17-35,2470,580,1890,4440,843,3597,,,2683,1797,886,1970,263,1707
ALL,15498,2742,12756,,2021-01-18-05-50,2469,547,1922,4439,817,3622,,,2683,1792,891,1970,270,1700
ALL,15611,2743,12868,,2021-01-18-17-35,2485,568,1917,4481,850,3631,,,2679,1777,902,1996,282,1714
ALL,15605,2756,12849,,2021-01-19-05-45,2483,570,1913,4479,848,3631,,,2679,1775,904,1996,278,1718
ALL,15589,2759,12830,,2021-01-19-17-35,2505,593,1912,4510,882,3628,,,2663,1776,887,2005,289,1716
ALL,15589,2756,12833,,2021-01-20-05-50,2505,602,1903,4510,893,3617,,,2663,1759,904,2005,291,1714
ALL,15589,2653,12936,,2021-01-20-17-35,2526,567,1959,4481,868,3613,,,2656,1741,915,1955,301,1654
ALL,15557,2654,12903,,2021-01-21-05-45,2516,553,1963,4471,859,3612,,,2656,1741,915,1955,306,1649
ALL,15409,2621,12788,,2021-01-21-17-35,2482,567,1915,4440,870,3570,,,2656,1770,886,1958,303,1655
ALL,15409,2632,12777,,2021-01-22-05-45,2482,567,1915,4441,877,3564,,,2656,1770,886,1959,310,1649
ALL,15411,2484,12927,,2021-01-22-17-35,2484,534,1950,4442,849,3593,,,2656,1693,963,1958,315,1643
ALL,15411,2460,12951,,2021-01-23-05-50,2484,557,1927,4442,849,3593,,,2656,1695,961,1958,292,1666
ALL,15411,2437,12974,,2021-01-23-17-35,2483,528,1955,4444,822,3622,,,2654,1687,967,1961,294,1667
ALL,15411,2452,12959,,2021-01-24-05-50,2482,528,1954,4444,831,3613,,,2654,1685,969,1962,303,1659
ALL,15417,2360,13057,,2021-01-24-17-35,2484,525,1959,4447,835,3612,,,2654,1687,967,1963,310,1653
ALL,15417,2369,13048,,2021-01-25-05-50,2484,533,1951,4447,855,3592,,,2655,1696,959,1963,322,1641
ALL,15420,2228,13192,,2021-01-25-17-35,2484,499,1985,4451,828,3623,,,2657,1694,963,1967,329,1638
ALL,15420,2203,13217,,2021-01-26-05-50,2482,490,1992,4451,808,3643,,,2657,1699,958,1969,318,1651
ALL,15420,2116,13304,,2021-01-26-17-35,2485,458,2027,4452,774,3678,,,2659,1711,948,1967,316,1651
ALL,15420,2087,13333,,2021-01-27-05-50,2485,445,2040,4452,764,3688,,,2658,1711,947,1967,319,1648
ALL,15420,1975,13445,,2021-01-27-17-35,2486,438,2048,4451,737,3714,,,2658,1772,886,1965,299,1666
ALL,15420,1958,13462,,2021-01-28-05-55,2486,432,2054,4451,737,3714,,,2658,1776,882,1965,305,1660
ALL,15428,1887,13541,,2021-01-28-17-35,2480,399,2081,4448,696,3752,,,2657,1780,877,1968,297,1671
ALL,15428,1832,13596,,2021-01-29-05-45,2480,397,2083,4448,698,3750,,,2657,1776,881,1968,301,1667
ALL,15428,1747,13681,,2021-01-29-17-35,2496,372,2124,4464,656,3808,,,2655,1793,862,1968,284,1684
ALL,15428,1700,13728,,2021-01-30-05-50,2496,355,2141,4464,628,3836,,,2655,1802,853,1968,273,1695
ALL,15428,1560,13868,,2021-01-30-17-35,2491,336,2155,4462,606,3856,,,2656,1799,857,1971,270,1701
ALL,15428,1554,13874,,2021-01-31-05-50,2491,333,2158,4462,591,3871,,,2656,1802,854,1971,258,1713
ALL,15428,1499,13929,,2021-01-31-16-50,2494,337,2157,4464,582,3882,,,2655,1803,852,1970,245,1725
ALL,15426,1491,13935,,2021-02-01-05-50,2494,334,2160,4462,579,3883,,,2656,1804,852,1968,245,1723
ALL,15426,1429,13997,,2021-02-01-17-35,2498,310,2188,4462,553,3909,,,2652,1804,848,1964,243,1721
ALL,15426,1394,14032,,2021-02-02-05-50,2498,308,2190,4462,548,3914,,,2652,1813,839,1964,240,1724
ALL,15426,1376,14050,,2021-02-02-17-35,2498,306,2192,4462,542,3920,,,2651,1842,809,1964,236,1728
ALL,15426,1343,14083,,2021-02-03-05-50,2498,295,2203,4462,532,3930,,,2651,1851,800,1964,237,1727
ALL,15426,1286,14140,,2021-02-03-17-35,2500,286,2214,4462,509,3953,,,2651,1846,805,1962,223,1739
ALL,15426,1241,14185,,2021-02-04-05-50,2500,283,2217,4462,507,3955,,,2651,1833,818,1962,224,1738
ALL,15426,1168,14258,,2021-02-04-17-35,2500,242,2258,4462,460,4002,,,2650,1824,826,1962,218,1744
ALL,15426,1141,14285,,2021-02-05-05-45,2501,227,2274,4462,444,4018,,,2650,1834,816,1961,217,1744
ALL,15416,1010,14406,,2021-02-05-17-35,2500,200,2300,4462,414,4048,,,2650,1831,819,1962,214,1748
ALL,15416,998,14418,,2021-02-06-05-55,2500,191,2309,4462,409,4053,,,2650,1832,818,1962,218,1744
ALL,15416,966,14450,,2021-02-06-17-35,2512,196,2316,4475,396,4079,,,2649,1841,808,1963,200,1763
ALL,15416,957,14459,,2021-02-07-05-50,2512,194,2318,4475,393,4082,,,2649,1834,815,1963,199,1764
ALL,15416,926,14490,,2021-02-07-17-35,2517,194,2323,4475,373,4102,,,2653,1873,780,1958,179,1779
ALL,15416,910,14506,,2021-02-08-05-50,2517,186,2331,4475,368,4107,,,2653,1888,765,1958,182,1776
ALL,15416,860,14556,,2021-02-08-17-35,2516,169,2347,4474,347,4127,,,2654,1896,758,1958,178,1780
ALL,15416,848,14568,,2021-02-09-05-50,2516,164,2352,4474,342,4132,,,2654,1890,764,1958,178,1780
ALL,15416,768,14648,,2021-02-09-17-40,2516,148,2368,4474,311,4163,,,2654,1889,765,1958,163,1795
ALL,15416,743,14673,,2021-02-10-05-50,2518,147,2371,4476,308,4168,,,2654,1888,766,1958,161,1797
ALL,15375,713,14662,,2021-02-10-17-40,2517,150,2367,4475,306,4169,,,2655,1874,781,1958,156,1802
ALL,15375,706,14669,,2021-02-11-05-50,2517,142,2375,4475,296,4179,,,2655,1874,781,1958,154,1804
ALL,15375,648,14727,,2021-02-11-17-35,2518,119,2399,4475,275,4200,,,2657,1879,778,1957,156,1801
ALL,15375,635,14740,,2021-02-12-05-50,2518,114,2404,4475,264,4211,,,2657,1873,784,1957,150,1807
ALL,15375,587,14788,,2021-02-12-17-35,2518,106,2412,4474,250,4224,,,2658,1880,778,1956,144,1812
ALL,15375,558,14817,,2021-02-13-05-50,2518,105,2413,4474,243,4231,,,2658,1880,778,1956,138,1818
ALL,15357,526,14831,,2021-02-13-17-35,2524,106,2418,4479,231,4248,,,2668,1875,793,1955,125,1830
ALL,15357,519,14838,,2021-02-14-05-50,2524,99,2425,4479,222,4257,,,2668,1874,794,1955,123,1832
ALL,15357,480,14877,,2021-02-14-17-35,2523,93,2430,4479,207,4272,,,2665,1873,792,1956,114,1842
ALL,15357,476,14881,,2021-02-15-05-50,2523,94,2429,4479,209,4270,,,2665,1882,783,1956,115,1841
ALL,15351,423,14928,,2021-02-15-17-40,2521,87,2434,4477,196,4281,,,2665,1901,764,1956,109,1847
ALL,15351,418,14933,,2021-02-16-05-50,2521,92,2429,4477,195,4282,,,2665,1906,759,1956,103,1853
