name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant
Aashlok Hospital,2,0,2,Private,2021-02-13-09-35,1,0,1,1,0,1,2,5,,,,,,
AASTHA HOSPITAL,19,1,18,Private,2021-02-13-14-29,4,0,4,5,0,5,2,0,5,2,3,1,0,1
Ace Hospital,6,0,6,Private,2021-02-13-08-09,3,0,3,3,0,3,2,23,1,0,1,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-02-13-09-48,,,,,,,6,0,,,,,,
AIIMS Jhajjar,400,0,400,Central Government,2021-11-07-07-40,,,,100,0,100,0,23,,,,100,0,100
AIIMS Main Delhi,56,5,51,Central Government,2021-02-13-17-25,,,,15,2,13,3,16,93,73,20,15,2,13
"AIIMS, Trauma Delhi",265,78,187,Central Government,2021-02-13-05-35,,,,71,42,29,,,,,,71,42,29
"Akash Healthcare, Dwarka",79,2,77,Private,2021-02-13-14-50,14,1,13,24,2,22,0,16,44,42,2,10,1,9
Alshifa Hospital,18,0,18,Private,2021-02-13-10-27,4,0,4,6,0,6,4,0,11,4,7,2,0,2
Ambedkar Nagar hospital,300,0,300,Delhi Government,2021-02-13-17-03,40,0,40,50,0,50,3,0,,,,10,0,10
Angel Agasta Multispeciality Hospital,2,0,2,Private,2021-02-13-10-41,1,0,1,1,0,1,0,3,,,,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-02-13-15-12,5,0,5,5,0,5,1,23,5,1,4,,,
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-02-13-09-19,4,0,4,4,0,4,1,0,,,,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,7,0,7,,,,,,,,
