name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant
AASTHA HOSPITAL,40,40,0,Private,2021-05-04-06-53,8,8,0,2,2,0,2,2,0,10,10,0
Acharyashree Bhikshu Govt. Hospital,108,108,0,Delhi Government,2021-05-04-08-37,13,13,0,,,,,,,13,13,0
AIIMS Jhajjar,489,489,0,Central Government,2021-05-04-08-48,,,,,,,50,50,0,50,50,0
AIIMS Main Delhi,167,128,39,Central Government,2021-05-03-15-50,29,26,3,86,36,50,,,,29,26,3
"AIIMS, Trauma Delhi",294,289,5,Central Government,2021-05-04-05-52,,,,,,,71,69,2,71,69,2
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-04-06-39,19,19,0,17,17,0,35,35,0,54,54,0
Alshifa Hospital,40,40,0,Private,2021-05-04-10-43,16,16,0,,,,3,3,0,19,19,0
Ambedkar Nagar hospital,300,300,0,Delhi Government,2021-05-04-09-46,20,20,0,,,,,,,20,20,0
"Ansari Hospital, Sagarpur",40,40,0,Private,2021-05-04-06-48,3,3,0,,,,2,2,0,5,5,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-04-07-33,4,4,0,4,4,0,,,,4,4,0
Ardent Ganpati,41,14,27,Private,2021-05-04-08-15,4,4,0,,,,,,,4,4,0
Arya Hospital,24,24,0,Private,2021-05-03-20-45,8,8,0,,,,2,2,0,10,10,0
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-03-17-21,28,28,0,,,,2,2,0,30,30,0
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-04-08-11,19,19,0,,,,1,1,0,20,20,0
"Bansal Global Hospital, Jahangirpuri",43,25,18,Private,2021-05-03-08-06,9,1,8,1,0,1,1,1,0,10,2,8
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-04-09-52,8,8,0,2,2,0,2,2,0,10,10,0
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-04-09-50,,,,,,,10,10,0,10,10,0
Base Hospital Delhi Cantt,493,490,3,Central Government,2021-05-04-07-30,,,,,,,50,50,0,50,50,0
Batra Hospital,265,265,0,Private,2021-05-04-09-55,23,23,0,12,12,0,15,15,0,38,38,0
"Bensups Hospital, Dwarka",40,20,20,Private,2021-05-04-08-25,12,12,0,,,,3,3,0,15,15,0
BH SALVAS HOSPITAL,40,16,24,Private,2021-05-03-19-12,7,4,3,5,0,5,1,1,0,8,5,3
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-04-08-26,23,23,0,,,,5,5,0,28,28,0
"Bhagwan Mahavir Hospital, Madhuban Chowk",45,45,0,Private,2021-05-04-07-57,10,10,0,,,,1,1,0,11,11,0
"Bhagwati Hospital, Rohini",105,77,28,Private,2021-05-04-10-11,13,13,0,,,,2,2,0,15,15,0
"Bhatia Global Hospital, Paschim Vihar",36,32,4,Private,2021-05-04-10-25,8,8,0,,,,,,,8,8,0
Bimla Devi Hospital,27,26,1,Private,2021-05-04-10-42,,,,6,3,3,,,,,,
"BLK Hospital, Pusa Road",270,241,29,Private,2021-05-04-08-47,68,68,0,69,40,29,7,7,0,75,75,0
"Brahm Shakti Hospital, Budh Vihar",80,80,0,Private,2021-05-04-10-30,10,10,0,,,,1,1,0,11,11,0
Burari Hospital,370,370,0,Delhi Government,2021-05-04-11-19,40,40,0,,,,30,30,0,70,70,0
C M PATEL HOSPITAL,15,15,0,Private,2021-05-01-17-01,,,,,,,,,,,,
CBR Hospital,25,13,12,Private,2021-05-03-11-32,2,2,0,,,,1,1,0,3,3,0
"CD Global Hospital, Najafgarh Road",40,40,0,Private,2021-05-03-18-46,5,5,0,,,,1,1,0,6,6,0
Cronus Multi speciality Hospital,10,10,0,Private,2021-05-04-11-15,2,2,0,,,,,,,2,2,0
"Cygnus MLS, Rama Vihar",54,54,0,Private,2021-05-04-10-37,7,7,0,,,,5,5,0,12,12,0
"Cygnus Sonia Hospital, Nangloi",68,68,0,Private,2021-05-04-11-00,26,26,0,,,,5,5,0,31,31,0
Deen Dayal Upadhyay hospital,310,303,7,Delhi Government,2021-05-04-09-17,130,130,0,33,22,11,50,50,0,180,180,0
