name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours
AASTHA HOSPITAL,40,40,0,Private,2021-05-08-19-36,8,8,0,2,2,0,2,2,0,10,10,0,0,6
Acharyashree Bhikshu Govt. Hospital,130,70,60,Delhi Government,2021-05-08-19-47,7,7,0,,,,6,6,0,13,13,0,0,18
AIIMS Jhajjar,424,424,0,Central Government,2021-05-08-18-20,,,,,,,100,100,0,100,100,0,0,16
AIIMS Main Delhi,287,198,89,Central Government,2021-05-08-15-48,71,65,6,72,36,36,,,,71,65,6,0,6
"AIIMS, Trauma Delhi",294,288,6,Central Government,2021-05-08-16-32,,,,,,,71,69,2,71,69,2,,
"Akash Healthcare, Dwarka",261,261,0,Private,2021-05-08-17-48,16,16,0,17,17,0,38,38,0,54,54,0,0,12
Alshifa Hospital,40,40,0,Private,2021-05-08-17-03,16,16,0,,,,3,3,0,19,19,0,1,18
Ambedkar Nagar hospital,300,287,13,Delhi Government,2021-05-08-20-12,20,20,0,,,,,,,20,20,0,0,8
Angel Agasta Multispeciality Hospital,10,8,2,Private,2021-05-08-20-05,1,1,0,,,,,,,1,1,0,0,8
"Ansari Hospital, Sagarpur",40,30,10,Private,2021-05-08-20-29,3,3,0,,,,2,2,0,5,5,0,1,0
"Apex City Hospital, West Vinod Nagar",28,28,0,Private,2021-05-08-17-44,4,4,0,4,4,0,,,,4,4,0,1,0
Apollo Spectra Hospitals ( Unit of Apollo Specialty Hospitals PVT.LTD,20,1,19,Private,2021-05-08-07-47,,,,,,,3,0,3,3,0,3,1,2
Ardent Ganpati,41,16,25,Private,2021-05-08-18-00,4,4,0,,,,,,,4,4,0,,
Arya Hospital,24,24,0,Private,2021-05-08-08-43,8,8,0,,,,2,2,0,10,10,0,,
Asian Multispeciality Hospital,15,2,13,Private,2021-05-08-14-07,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",118,118,0,Private,2021-05-08-19-22,23,23,0,,,,7,7,0,30,30,0,0,6
"B.M. Gupta Hospital, Uttam Nagar",70,70,0,Private,2021-05-08-20-26,19,19,0,,,,1,1,0,20,20,0,0,9
"Bansal Global Hospital, Jahangirpuri",43,30,13,Private,2021-05-08-16-05,9,9,0,1,0,1,1,1,0,10,10,0,0,7
"Bansal Hospital & Research Centre, New Friends Colony",40,40,0,Private,2021-05-08-07-34,8,8,0,2,2,0,2,2,0,10,10,0,1,1
Bara Hindurao Hospital,250,250,0,Central Government,2021-05-08-09-47,,,,,,,10,10,0,10,10,0,2,0
Base Hospital Delhi Cantt,500,497,3,Central Government,2021-05-08-10-28,,,,,,,50,50,0,50,50,0,1,12
Batra Hospital,260,260,0,Private,2021-05-08-15-15,23,23,0,12,12,0,15,15,0,38,38,0,0,12
"Bensups Hospital, Dwarka",40,35,5,Private,2021-05-08-20-04,12,12,0,,,,3,3,0,15,15,0,0,15
BH SALVAS HOSPITAL,40,12,28,Private,2021-05-08-10-57,7,7,0,5,5,0,1,1,0,8,8,0,0,8
"Bhagat Chandra Hospital, Mahavir Enclave, Dwarka",81,81,0,Private,2021-05-08-16-23,23,23,0,,,,5,5,0,28,28,0,0,9
"Bhagwan Mahavir Hospital, Madhuban Chowk",40,40,0,Private,2021-05-08-15-17,10,10,0,,,,1,1,0,11,11,0,0,8
"Bhagwati Hospital, Rohini",130,73,57,Private,2021-05-08-19-28,13,13,0,,,,2,2,0,15,15,0,0,7
