name,beds_total,beds_occupied,beds_vacant,type,last_updated_at,icu_beds_without_ventilator_total,icu_beds_without_ventilator_occupied,icu_beds_without_ventilator_vacant,ventilators_total,ventilators_occupied,ventilators_vacant,covid_icu_beds_total,covid_icu_beds_occupied,covid_icu_beds_vacant,oxygen_left_for_days,oxygen_left_for_hours,noncovid_icu_beds_total,noncovid_icu_beds_occupied,noncovid_icu_beds_vacant
Aashlok Hospital,25,0,25,Private,2021-08-11-09-53,3,0,3,2,0,2,5,0,5,2,5,,,
AASTHA HOSPITAL,40,0,40,Private,2021-08-11-17-19,8,0,8,2,0,2,10,0,10,,,2,2,0
Ace Hospital,30,0,30,Private,2021-08-11-11-48,4,0,4,,,,4,0,4,,,,,
Acharyashree Bhikshu Govt. Hospital,25,0,25,Delhi Government,2021-08-11-15-41,,,,5,0,5,5,0,5,12,0,,,
Adarsh Multispeciality Hospital & Trauma Centre,10,0,10,Private,2021-08-11-14-20,,,,,,,,,,7,0,,,
AIIMS Jhajjar,400,1,399,Central Government,2021-08-11-17-40,,,,100,1,99,100,1,99,0,23,,,
AIIMS Main Delhi,13,0,13,Central Government,2021-08-11-16-42,,,,,,,,,,3,7,92,80,12
"AIIMS, Trauma Delhi",294,18,276,Central Government,2021-08-11-16-35,,,,71,11,60,71,11,60,,,,,
"Akash Healthcare, Dwarka",60,1,59,Private,2021-08-11-17-37,30,1,29,10,0,10,40,1,39,0,16,28,0,28
All India Institute of Ayurveda,21,0,21, ,2021-08-11-12-39,,,,,,,,,,7,0,,,
Alshifa Hospital,20,0,20,Private,2021-08-11-10-37,5,0,5,4,0,4,9,0,9,18,0,10,4,6
Ambedkar Nagar hospital,200,2,198,Delhi Government,2021-08-12-05-20,,,,,,,,,,1,0,,,
Angel Agasta Multispeciality Hospital,10,0,10,Private,2021-08-11-21-57,1,0,1,,,,1,0,1,0,3,,,
"Ansari Hospital, Sagarpur",20,0,20,Private,2021-08-11-16-24,,,,,,,,,,1,23,5,1,4
"Apex City Hospital, West Vinod Nagar",28,0,28,Private,2021-08-11-18-54,4,0,4,,,,4,0,4,1,0,,,
Ardent Ganpati,31,0,31,Private,2021-08-03-09-28,7,0,7,,,,7,0,7,,,,,
ARK Hospital,30,0,30,Private,2021-08-11-10-20,5,0,5,,,,5,0,5,0,6,,,
Arya Hospital,24,0,24,Private,2021-08-11-11-46,8,0,8,2,0,2,10,0,10,4,0,14,0,14
Ashray Medical Centre,12,0,12,Private,2021-08-11-11-48,,,,,,,,,,1,23,,,
Asian Multispeciality Hospital,15,0,15,Private,2021-08-11-12-45,,,,,,,,,,4,0,,,
Astha Hospital,10,0,10,Private,2021-08-11-15-17,,,,,,,,,,,,,,
"Ayushman Hospital, Dwarka",50,0,50,Private,2021-08-11-07-51,18,0,18,2,0,2,20,0,20,0,23,20,20,0
"B.M. Gupta Hospital, Uttam Nagar",30,0,30,Private,2021-08-12-01-56,7,0,7,1,0,1,8,0,8,0,23,,,
Balak Ram Hospital,25,0,25,Delhi Government,2021-08-11-08-13,,,,,,,,,,,,,,
"Bansal Global Hospital, Jahangirpuri",10,0,10,Private,2021-08-11-15-54,,,,,,,,,,0,7,9,0,9
Bara Hindurao Hospital,250,2,248,Central Government,2021-08-11-09-44,,,,14,0,14,14,0,14,4,6,4,3,1
Base Hospital Delhi Cantt,500,16,484,Central Government,2021-08-11-08-11,,,,50,1,49,50,1,49,2,12,,,
Batra Hospital,148,0,148,Private,2021-08-11-10-07,3,0,3,5,0,5,8,0,8,0,23,52,43,9
"Bensups Hospital, Dwarka",30,0,30,Private,2021-08-11-08-06,12,0,12,3,0,3,15,0,15,5,10,,,
BH SALVAS HOSPITAL,10,0,10,Private,2021-08-11-09-32,2,0,2,1,0,1,3,0,3,0,20,10,0,10
"Bhagwati Hospital, Rohini",35,0,35,Private,2021-08-11-16-34,13,0,13,2,0,2,15,0,15,0,10,5,5,0
"Bhatia Global Hospital, Paschim Vihar",14,0,14,Private,2021-08-11-17-15,1,0,1,,,,1,0,1,6,12,5,0,5
Bimla Devi Hospital,10,0,10,Private,2021-08-11-11-24,6,0,6,,,,6,0,6,4,0,4,0,4
"BLK Hospital, Pusa Road",140,1,139,Private,2021-08-12-03-30,21,0,21,7,1,6,28,1,27,4,0,90,90,0
"Brahm Shakti Hospital, Budh Vihar",30,0,30,Private,2021-08-11-12-55,5,0,5,1,0,1,6,0,6,2,12,17,12,5
Burari Hospital,300,0,300,Delhi Government,2021-08-11-16-04,70,0,70,30,0,30,100,0,100,7,12,,,
C M PATEL HOSPITAL,15,1,14,Private,2021-08-11-13-39,,,,,,,,,,2,23,,,
Cantonment General Hospital,27,1,26,Central Government,2021-06-12-09-51,,,,,,,,,,7,0,,,
CBR Hospital,20,0,20,Private,2021-08-11-11-51,3,0,3,,,,3,0,3,,,,,
"CD Global Hospital, Najafgarh Road",40,0,40,Private,2021-08-11-17-15,5,0,5,1,0,1,6,0,6,1,20,3,0,3
Central Hospital,16,0,16,Private,2021-08-12-03-47,,,,4,0,4,4,0,4,0,3,4,4,0
Coaches Covid Care Centre- Shakurbasti Railway,800,0,800,Central Government,2021-07-08-07-26,,,,,,,,,,,,,,
Covid care and treatment centre Gurdwara Rakab ganj,400,0,400,Delhi Government,2021-07-04-20-56,,,,,,,,,,,,,,
Covid Care and Treatment centre Yamuna sports complex,50,0,50,Delhi Government,2021-08-11-08-44,,,,,,,,,,27,13,,,
"Covid Care Center- Sardar Patel, Chattrpur",596,2,594,Delhi Government,2021-08-11-13-37,,,,,,,,,,2,17,,,
covid care center-Sultanpuri,1200,14,1186,Delhi Government,2021-08-11-09-18,,,,,,,,,,,,,,
Covid Care Center -CWG AKSHARDHAM,50,0,50,Delhi Government,2021-08-11-09-03,,,,,,,,,,5,23,,,
Covid Care Center Narela,50,0,50,Delhi Government,2021-08-11-07-52,,,,,,,,,,,,,,
"Cygnus MLS, Rama Vihar",27,0,27,Private,2021-08-11-17-19,,,,5,0,5,5,0,5,1,14,19,7,12
"Cygnus Sonia Hospital, Nangloi",21,0,21,Private,2021-08-12-05-29,4,0,4,1,0,1,5,0,5,0,17,18,11,7
Deen Dayal Upadhyay hospital,100,9,91,Delhi Government,2021-08-12-04-00,,,,25,5,20,25,5,20,0,10,43,0,43
Deep Chand Bandhu,100,1,99,Delhi Government,2021-08-11-21-53,5,0,5,20,0,20,25,0,25,3,8,10,7,3
Delhi global hospital,3,0,3,Private,2021-08-11-08-06,3,0,3,,,,3,0,3,1,23,4,1,3
Delhi Golden Hospital,15,0,15,Private,2021-08-11-22-39,,,,,,,,,,,,,,
"Delhi Heart & Lung Institute, Pachkuian Road",30,0,30,Private,2021-08-11-09-44,3,0,3,2,0,2,5,0,5,2,2,34,15,19
Delhi multi speciality hospital,2,0,2,Private,2021-08-11-09-08,,,,,,,,,,1,15,,,
"Dharamshila Narayana Hosp., Vasundhra Enclave",103,0,103,Private,2021-08-12-00-13,13,0,13,5,0,5,18,0,18,1,8,5,5,0
"Dharamvir Solanki Hospital, Rohini",5,0,5,Private,2021-08-11-10-55,4,0,4,1,0,1,5,0,5,0,23,5,0,5
Divine Multispeciality Hospital and Cancer Centre,18,0,18,Private,2021-08-11-09-44,14,0,14,,,,14,0,14,4,22,,,
"Divya Prastha Hospital, RZ-37, Opposite Bagh Wala School, Main Road, Palam Colony, New Delhi 45",20,1,19,Private,2021-08-11-12-57,,,,2,0,2,2,0,2,1,20,8,8,0
Dr Baba Saheb Ambedkar Hospital,100,14,86,Delhi Government,2021-08-11-09-51,,,,25,13,12,25,13,12,1,7,12,7,5
Dr Rakesh Multispeciality Hospital,15,1,14,Private,2021-08-11-14-38,6,1,5,,,,6,1,5,,,,,
Ekansh Hospital,8,0,8,Private,2021-08-11-14-11,,,,,,,,,,,,,,
ESIC Hospital Jhilmil,18,0,18,Central Government,2021-08-11-11-36,,,,,,,,,,2,21,5,5,0
ESIC hospital Okhla,20,0,20,Central Government,2021-08-11-09-54,,,,2,0,2,2,0,2,7,9,15,7,8
"Fortis Escorts Heart Institute, Okhla",112,0,112,Private,2021-08-11-16-23,55,0,55,5,0,5,60,0,60,2,3,16,15,1
"Fortis Hospital, Shalimar Bagh",78,0,78,Private,2021-08-11-17-48,15,0,15,5,0,5,20,0,20,4,23,48,48,0
"Fortis SS Hospital, Vasant Kunj",48,0,48,Private,2021-08-11-23-53,14,0,14,4,0,4,18,0,18,2,23,37,30,7
Galaxy Hospital,8,0,8,Private,2021-08-11-08-27,2,0,2,,,,2,0,2,5,0,1,0,1
"Gandhi Nursing Home, Uttam Nagar",25,0,25,Private,2021-08-11-09-44,8,0,8,2,0,2,10,0,10,1,12,15,15,0
"Garg Hospital, Karkardooma",36,0,36,Private,2021-08-11-19-30,4,0,4,,,,4,0,4,7,0,,,
GNS Multispeciality Hospital,6,0,6,Private,2021-07-29-13-47,,,,,,,,,,,,,,
"Goyal Hospital & Urology Centre, Krishna Nagar",14,0,14,Private,2021-08-11-08-24,3,0,3,1,0,1,4,0,4,1,23,10,10,0
"Goyal Hospital, Paschim Vihar",16,0,16,Private,2021-08-11-17-28,7,0,7,,,,7,0,7,0,12,,,
GTB Hospital,600,16,584,Delhi Government,2021-08-12-04-34,410,0,410,140,16,124,550,16,534,4,6,8,8,0
Gupta Multispecialty Hospital,14,0,14,Private,2021-08-12-05-13,,,,,,,,,,2,0,4,0,4
"Gupta Multispecialty Hospital, Vivek Vihar",20,0,20,Private,2021-08-11-10-01,,,,,,,,,,3,23,2,0,2
"HAHC Hospital, Hamdard Nagar",141,0,141,Private,2021-08-12-00-19,4,0,4,8,0,8,12,0,12,1,4,29,8,21
HANDA NURSING HOME,12,0,12,Private,2021-08-11-10-38,,,,,,,,,,1,18,6,0,6
Hardik Hospital,10,0,10,Private,2021-08-11-10-01,4,0,4,,,,4,0,4,1,20,,,
Highland Care Multispeciality Hospital,20,0,20,Private,2021-08-11-19-03,5,0,5,,,,5,0,5,0,15,,,
Hira’s Multispeciality Hospital,15,0,15,Private,2021-08-11-15-46,,,,,,,,,,0,12,,,
"Holy Family Hospital, Okhla",100,0,100,Private,2021-08-11-09-20,14,0,14,14,0,14,28,0,28,0,20,18,0,18
"IBS Hospital, Lajpat Nagar",7,0,7,Private,2021-08-11-09-32,,,,,,,,,,0,6,10,4,6
"Indian spinal injury centre,Vasant Kunj",60,0,60,Private,2021-08-12-05-08,,,,9,0,9,9,0,9,0,20,10,9,1
"Indira Gandhi Hospital, Dwarka",250,2,248,Delhi Government,2021-08-11-11-25,,,,15,0,15,15,0,15,5,0,73,0,73
"INDRAPRASTHA APOLLO HOSPITAL, SARITA VIHAR",215,4,211,Private,2021-08-11-17-12,32,3,29,12,1,11,44,4,40,4,0,117,112,5
"Irene Hospital, Kalkaji",34,0,34,Private,2021-08-11-09-58,3,0,3,2,0,2,5,0,5,2,0,,,
"Ishan Hospital, Rohini",13,0,13,Private,2021-08-11-19-56,5,0,5,,,,5,0,5,0,23,,,
